"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)",
"1500000US360050001000","Block Group 0, Census Tract 1, Bronx County, New York","-","**",
"1500000US360050001001","Block Group 1, Census Tract 1, Bronx County, New York","-","**",
"1500000US360050002000","Block Group 0, Census Tract 2, Bronx County, New York","-","**",
"1500000US360050002001","Block Group 1, Census Tract 2, Bronx County, New York","-","**",
"1500000US360050002002","Block Group 2, Census Tract 2, Bronx County, New York","74050","55140",
"1500000US360050002003","Block Group 3, Census Tract 2, Bronx County, New York","68333","16895",
"1500000US360050004000","Block Group 0, Census Tract 4, Bronx County, New York","-","**",
"1500000US360050004001","Block Group 1, Census Tract 4, Bronx County, New York","-","**",
"1500000US360050004002","Block Group 2, Census Tract 4, Bronx County, New York","61463","12428",
"1500000US360050004003","Block Group 3, Census Tract 4, Bronx County, New York","94913","30350",
"1500000US360050004004","Block Group 4, Census Tract 4, Bronx County, New York","107083","71806",
"1500000US360050016001","Block Group 1, Census Tract 16, Bronx County, New York","31449","6001",
"1500000US360050016002","Block Group 2, Census Tract 16, Bronx County, New York","45208","31677",
"1500000US360050016003","Block Group 3, Census Tract 16, Bronx County, New York","45580","10640",
"1500000US360050016004","Block Group 4, Census Tract 16, Bronx County, New York","46957","38615",
"1500000US360050019011","Block Group 1, Census Tract 19.01, Bronx County, New York","61711","15310",
"1500000US360050019021","Block Group 1, Census Tract 19.02, Bronx County, New York","53882","10884",
"1500000US360050019031","Block Group 1, Census Tract 19.03, Bronx County, New York","-","**",
"1500000US360050019032","Block Group 2, Census Tract 19.03, Bronx County, New York","-","**",
"1500000US360050019040","Block Group 0, Census Tract 19.04, Bronx County, New York","-","**",
"1500000US360050019041","Block Group 1, Census Tract 19.04, Bronx County, New York","-","**",
"1500000US360050019042","Block Group 2, Census Tract 19.04, Bronx County, New York","-","**",
"1500000US360050020011","Block Group 1, Census Tract 20.01, Bronx County, New York","-","**",
"1500000US360050020012","Block Group 2, Census Tract 20.01, Bronx County, New York","12269","7585",
"1500000US360050020013","Block Group 3, Census Tract 20.01, Bronx County, New York","50391","50348",
"1500000US360050020021","Block Group 1, Census Tract 20.02, Bronx County, New York","62370","47143",
"1500000US360050020022","Block Group 2, Census Tract 20.02, Bronx County, New York","87582","53508",
"1500000US360050020023","Block Group 3, Census Tract 20.02, Bronx County, New York","10403","9956",
"1500000US360050023001","Block Group 1, Census Tract 23, Bronx County, New York","26724","11050",
"1500000US360050023002","Block Group 2, Census Tract 23, Bronx County, New York","22105","13889",
"1500000US360050023003","Block Group 3, Census Tract 23, Bronx County, New York","-","**",
"1500000US360050024000","Block Group 0, Census Tract 24, Bronx County, New York","-","**",
"1500000US360050024001","Block Group 1, Census Tract 24, Bronx County, New York","-","**",
"1500000US360050025001","Block Group 1, Census Tract 25, Bronx County, New York","38325","17158",
"1500000US360050025002","Block Group 2, Census Tract 25, Bronx County, New York","17938","9704",
"1500000US360050025003","Block Group 3, Census Tract 25, Bronx County, New York","25075","5031",
"1500000US360050025004","Block Group 4, Census Tract 25, Bronx County, New York","51300","13134",
"1500000US360050025005","Block Group 5, Census Tract 25, Bronx County, New York","-","**",
"1500000US360050027011","Block Group 1, Census Tract 27.01, Bronx County, New York","16458","8956",
"1500000US360050027012","Block Group 2, Census Tract 27.01, Bronx County, New York","18171","2117",
"1500000US360050027021","Block Group 1, Census Tract 27.02, Bronx County, New York","20845","14386",
"1500000US360050027022","Block Group 2, Census Tract 27.02, Bronx County, New York","43785","19983",
"1500000US360050027023","Block Group 3, Census Tract 27.02, Bronx County, New York","-","**",
"1500000US360050027024","Block Group 4, Census Tract 27.02, Bronx County, New York","7181","6574",
"1500000US360050028001","Block Group 1, Census Tract 28, Bronx County, New York","54890","53923",
"1500000US360050028002","Block Group 2, Census Tract 28, Bronx County, New York","51288","6783",
"1500000US360050028003","Block Group 3, Census Tract 28, Bronx County, New York","51313","17850",
"1500000US360050028004","Block Group 4, Census Tract 28, Bronx County, New York","56364","21268",
"1500000US360050031001","Block Group 1, Census Tract 31, Bronx County, New York","42228","11185",
"1500000US360050033001","Block Group 1, Census Tract 33, Bronx County, New York","50465","34666",
"1500000US360050033002","Block Group 2, Census Tract 33, Bronx County, New York","-","**",
"1500000US360050033003","Block Group 3, Census Tract 33, Bronx County, New York","18295","8330",
"1500000US360050035001","Block Group 1, Census Tract 35, Bronx County, New York","27500","24359",
"1500000US360050035002","Block Group 2, Census Tract 35, Bronx County, New York","17639","11251",
"1500000US360050035003","Block Group 3, Census Tract 35, Bronx County, New York","30086","19424",
"1500000US360050037001","Block Group 1, Census Tract 37, Bronx County, New York","-","**",
"1500000US360050038001","Block Group 1, Census Tract 38, Bronx County, New York","51442","47829",
"1500000US360050039001","Block Group 1, Census Tract 39, Bronx County, New York","17583","12590",
"1500000US360050039002","Block Group 2, Census Tract 39, Bronx County, New York","-","**",
"1500000US360050039003","Block Group 3, Census Tract 39, Bronx County, New York","-","**",
"1500000US360050039004","Block Group 4, Census Tract 39, Bronx County, New York","85000","79178",
"1500000US360050039005","Block Group 5, Census Tract 39, Bronx County, New York","-","**",
"1500000US360050040011","Block Group 1, Census Tract 40.01, Bronx County, New York","61450","12954",
"1500000US360050041001","Block Group 1, Census Tract 41, Bronx County, New York","12281","3401",
"1500000US360050041002","Block Group 2, Census Tract 41, Bronx County, New York","28583","20789",
